  
 Print of DATAOBJECT Table in situation STEP_2 of component DFLT_COMP
 ====================================================================
  
 > Complex eigenvalues and frequencies in component system (Table CVALTAB.DISP)
 ----------------------------------------------------------------------------------------------------------
       Row       Frequency   Real(Lambda) Imag(Lambda) Damp.Coeff.   Circ.Freq   Eq.Dmp.Ratio  Ref.Freq.
             92 -1.99256E+03 -8.86491E+02 -1.25196E+04 -8.86491E+02 -1.25196E+04  7.06313E-02  0.00000E+00
             93  2.06826E+03 -9.55070E+02  1.29952E+04 -9.55070E+02  1.29952E+04  7.32962E-02  0.00000E+00
             94 -2.06826E+03 -9.55070E+02 -1.29952E+04 -9.55070E+02 -1.29952E+04  7.32962E-02  0.00000E+00
             95  2.08799E+03 -9.73381E+02  1.31192E+04 -9.73381E+02  1.31192E+04  7.39915E-02  0.00000E+00
             96 -2.08799E+03 -9.73381E+02 -1.31192E+04 -9.73381E+02 -1.31192E+04  7.39915E-02  0.00000E+00
             97  2.18082E+03 -1.06188E+03  1.37025E+04 -1.06188E+03  1.37025E+04  7.72638E-02  0.00000E+00
             98 -2.18082E+03 -1.06188E+03 -1.37025E+04 -1.06188E+03 -1.37025E+04  7.72638E-02  0.00000E+00
             99  2.19177E+03 -1.07258E+03  1.37713E+04 -1.07258E+03  1.37713E+04  7.76502E-02  0.00000E+00
            100 -2.19177E+03 -1.07258E+03 -1.37713E+04 -1.07258E+03 -1.37713E+04  7.76502E-02  0.00000E+00
            101  2.27153E+03 -1.15217E+03  1.42724E+04 -1.15217E+03  1.42724E+04  8.04655E-02  0.00000E+00
            102 -2.27153E+03 -1.15217E+03 -1.42724E+04 -1.15217E+03 -1.42724E+04  8.04655E-02  0.00000E+00
            103  2.30600E+03 -1.18747E+03  1.44890E+04 -1.18747E+03  1.44890E+04  8.16830E-02  0.00000E+00
            104 -2.30600E+03 -1.18747E+03 -1.44890E+04 -1.18747E+03 -1.44890E+04  8.16830E-02  0.00000E+00
