time_s,true_force,L2_estimate,Huber_estimate,exact_L1_estimate
0.2327759197,7.966641353,0.3308018537,-0.02428578824,0.6166243604
0.2367892977,7.421113948,-0.7442077807,0.1017741307,-0.4347991165
0.2408026756,6.009486058,1.420138759,-0.5775825962,1.816554726
0.2448160535,3.897302811,-4.210514118,-3.134070666,-3.918918519
0.2488294314,1.327515904,-5.931028104,-5.690558932,-5.687294276
0.2528428094,-1.24227129,-7.851218852,-8.247047198,-7.683985558
0.2568561873,-3.812058485,-11.50476117,-10.85502285,-11.46469944
0.2608695652,-5.790423711,-13.68518492,-12.47770349,-13.16784495
0.2648829431,-7.035756961,-13.55877076,-12.67656356,-12.08436205
0.2688963211,-7.407004675,-13.80420116,-12.21205682,-11.60221307
0.272909699,-6.87147325,-13.44570864,-11.32626129,-10.34407289
0.2769230769,-5.507293061,-10.90940348,-10.01901959,-9.610833313
0.2809364548,-3.492364837,-8.59751253,-8.396967019,-8.44427408
0.2849498328,-1.086305046,-6.913209401,-6.351537075,-6.631142487
0.2889632107,1.319754745,-4.077439353,-3.785295004,-3.659268554
0.2929765886,3.725812922,-0.9766601706,-1.219055193,-0.431245857
0.2969899666,5.538238854,0.4022316889,0.5158515233,1.014699751
0.3010033445,6.650716657,1.086189472,1.607254722,1.758127158
0.3050167224,6.937875799,2.453348896,2.23868704,3.217552357
0.3090301003,6.376562443,1.525926558,2.061440728,2.346265421
0.3130434783,5.047208103,1.220809082,1.171362632,2.094587198
0.3170568562,3.122602443,-1.032921897,-0.4268344354,-0.148956054
0.3210702341,0.870696473,-2.902925618,-2.244672112,-1.977735512
0.325083612,-1.381209634,-4.559491358,-4.062509881,-3.610787138
0.32909699,-3.633115741,-6.880717627,-5.880347649,-5.93846559
0.3331103679,-5.291586226,-8.661543634,-7.698185418,-7.708949545
0.3371237458,-6.282339186,-9.712435211,-8.218977034,-8.735925724
0.3411371237,-6.494338881,-7.927698144,-7.629352849,-6.886007912
0.3451505017,-5.912910639,-7.550489983,-7.039725298,-6.475715252
0.3491638796,-4.62015817,-7.790999927,-6.273379894,-6.702476529
0.3531772575,-2.783597955,-5.477269672,-4.392269709,-4.341224056
0.3571906355,-0.6773111671,-2.077138429,-1.836983117,-0.8769618178
0.3612040134,1.428975621,-0.4734017164,0.4415843054,0.7327023693
0.3652173913,3.535260679,2.082080636,2.720150435,3.314425755
0.3692307692,5.050976792,4.343278761,4.557252704,5.573884692
0.3732441472,5.93029972,5.001703502,5.505419845,6.201324334
0.3772575251,6.075314314,5.214831697,5.654159856,6.382047334
0.381270903,5.478848087,4.613364622,5.2145334,5.754215662
0.3852842809,4.224121325,3.83225398,4.39381417,4.952945666
0.3892976589,2.473231843,2.619996816,3.332623501,3.711566011
0.3933110368,0.4337004524,1.756303905,1.973230928,2.80116392
0.3973244147,-1.605830998,-0.5598026833,0.1547837753,0.4412603946
0.4013377926,-3.433262476,-2.875910335,-1.663663713,-1.918644192
0.4053511706,-4.816715401,-3.26033066,-2.798166068,-2.308076123
0.4093645485,-5.594174127,-4.29768672,-3.60700029,-3.381881534
